Region;Land use type;Habitat type;Solar radiation intensity;Plant species;Animal species;Temperature;Rainfall;Soil pH;Elevation;Tree coverage;Predator species;Pollinator species;Built road;Topographic diversity;Agricultural intensity
1;Wild;Savanna;Low;125;43;25;800;6.5;200;30;20;12;500;0.7;0.45
2;Suburban;Forest;High;210;78;18;1200;5.8;300;45;12;25;300;0.8;0.55
3;Agricultural;Grassland;High;180;60;20;900;6.2;250;15;15;18;700;0.6;0.65
4;Wild;Mountainous;Low;150;55;15;700;5.9;400;20;10;20;600;0.9;0.42
5;Wild;Savanna;High;130;50;26;750;6.4;180;35;22;15;550;0.7;0.48
6;Suburban;Wetland;High;90;30;22;1100;6.1;180;10;8;10;800;0.5;0.72
7;Wild;Forest;Low;220;80;17;1300;5.7;320;50;30;28;250;0.85;0.58
8;Agricultural;Mountainous;High;140;45;16;600;6;420;18;8;22;900;0.92;0.68
9;Wild;Grassland;Low;160;65;19;850;6.3;230;25;18;20;450;0.75;0.5
10;Suburban;Savanna;Low;110;38;24;700;6.2;160;28;18;12;700;0.65;0.6
11;Suburban;Forest;Low;200;75;16;1100;5.6;280;40;28;26;350;0.88;0.52
12;Agricultural;Wetland;High;80;28;21;950;5.8;150;8;5;8;1000;0.48;0.8
13;Wild;Mountainous;Low;170;58;14;550;6.1;380;15;12;18;800;0.91;0.4
14;Agricultural;Savanna;Medium;120;40;25;780;6.5;190;32;24;14;600;0.68;0.46
15;Agricultural;Wetland;Medium;85;32;20;920;6;140;12;10;10;1100;0.55;0.78
16;Wild;Grassland;Low;150;55;18;820;6.3;210;22;15;14;500;0.78;0.53
17;Suburban;Savanna;Low;105;36;23;730;6.4;170;30;20;10;600;0.62;0.58
18;Wild;Forest;High;210;78;17;1280;5.7;310;48;32;30;300;0.87;0.56
19;Suburban;Mountainous;Medium;145;50;15;590;6.2;390;22;12;20;850;0.9;0.7
20;Suburban;Wetland;High;95;30;23;1050;6;160;11;9;12;750;0.52;0.74
21;Wild;Savanna;High;135;46;26;770;6.4;185;33;25;15;520;0.71;0.43
22;Agricultural;Forest;Medium;200;75;18;1150;5.9;290;42;30;28;320;0.86;0.54
23;Wild;Grassland;Medium;175;60;20;870;6.2;225;27;20;22;480;0.77;0.48
24;Agricultural;Wetland;Medium;85;32;19;940;5.9;145;10;8;10;1050;0.49;0.75
25;Agricultural;Mountainous;Medium;140;45;16;600;6;410;17;8;22;900;0.9;0.67
26;Wild;Savanna;Medium;130;48;25;760;6.3;175;34;23;14;540;0.7;0.47
27;Suburban;Forest;Medium;220;80;16;1200;5.6;300;47;30;28;280;0.88;0.57
